taskNumUni	condNumUni	conditionName	duration	leftHandPresses	rightHandPresses	saccades	ActiveMaintenance	ActiveRetrieval	Arousal	AttentionCapacity	AttentionalFocus	AutobioRecall	RespInhibit	Categorisation	CognitiveLoad	CreativeThink	DiscourseProcess	DividedAtt	EmotionPercept	FeedbackSignal	FacialExpress	FeatureSearch	CentralFix	Imagination	MindWandering	InterferenceResolution	WordComprehension	MemoryRetrieval 	MotorPlanning	Narrative	Rehearsal	SemanticKnowledge	SocialCog	TaskDifficulty	TaskSwitch	VerbalFluency	VisualAttention	VisualAwareness	VisualBodyRecog	VisualLetterRecog	VisualNumRecog	VisualObjectRecog	VisualWM	RespAlt	VisuoSpatialAtt	DynamicView
1	1	NoGo	15	0	0	28	0	0	0	0	0.8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
1	2	Go	15	15	0	28	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0.5	1	0	0	1	0	0	0	0	0	1	0	0
2	3	ToM	30	2	0	98	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0
3	4	VideoActions	15	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
3	5	VideoKnots	15	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
4	6	UnpleasantScenes	15	8	0	37	0	0	0.2	0	0	0	0	1	0	0	0	0	0.4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0
4	7	PleasantScenes	15	7	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0.4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0
5	8	Math	15	0	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0
5	9	DigitJudgement	15	0	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0
6	10	CheckerBoard	30	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
7	11	SadFaces	15	0	8	38	0	0	0.2	0	0	0	0	1	0	0	0	0	0.4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	0
7	12	HappyFaces	15	0	7	38	0	0	0	0	0	0	0	1	0	0	0	0	0.4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	0
8	13	IntervalTiming	30	0	15	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
9	14	MotorImagery	30	0	0	41	0	1	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	1	1	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	15	FingerSimple	15	12	12	38	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0
10	16	FingerSeq	15	12	12	38	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0
11	17	Verbal0Back	15	0	0	20	0.8	0	0	0.8	0.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.7	1	0	0	1	0	1	0	0	0	1	0	0
11	18	Verbal2Back	15	7	0	20	1	0	0	1	0.4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.7	1	0	0	1	0	1	0	0	0	1	0	0
12	19	Object0Back	15	0	0	25	0.8	0	0	0.8	0.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.7	1	0	0	1	0	0	0	1	1	1	0	0
12	20	Object2Back	15	0	7	25	1	0	0	1	0.4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.7	1	0	0	1	0	0	0	1	1	1	0	0
13	21	SpatialNavigation	30	0	0	50	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	22	StroopIncon	15	0	4	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0
14	23	StroopCon	15	0	3.5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.9	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0
15	24	VerbGen	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
15	25	WordRead	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
16	26	VisualSearchEasy	10	5	0	32	0	0	0	0	0.2	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.3	1	0	1	0	0	0	2	0.5	0
16	27	VisualSearchMed	10	5	0	32	0	0	0	0	0.6	0	0	0	0	0	0	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.6	1	0	1	0	0	0	2	0.5	0
16	28	VisualSearchDiff	10	5	0	32	0	0	0	0	0.8	0	0	0	0	0	0	12	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.9	1	0	1	0	0	0	2	1	0
17	29	Rest	30	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	30	CPRO	30	2	2	95	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0.4	1	0	0	0	0	1	0	0.6	1	0	0	1	0	0	0	0	0	4	0	0
19	31	Prediction	10	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0
19	32	PredictViol	10	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0
19	33	PredictScram	10	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0
20	34	SpatialMapEasy	10	1	1	16	1	1	0	0.2	0.4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0.3	0	0	0.5	0	0	0	0	0	1	0	0.3	1	0	0	1	0	0	1	0.2	0
20	35	SpatialMapMed	10	1	1	16	1	1	0	0.6	0.6	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0.6	0	0	0.7	0	0	0	0	0.7	1	0	0.6	1	0	0	1	0	0	4	0.7	0
20	36	SpatialMapDiff	10	1	1	16	1	1	0	1	1	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0.9	0	0	0.9	0	0	0	0	1	1	0	0.9	1	0	0	1	0	0	7	0.9	0
21	37	NatureMovie	30	0	0	71	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.5	0	0	0	0	0.7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
22	38	RomanceMovie	30	0	0	45	0	0	1	0	0	0	0	0	0	0	0	0	0.3	0	1	0	0	0	0.5	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1
23	39	LandscapeMovie	30	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
24	40	MentalRotEasy	10	0	3	43	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	1	0	0	0	1	0	2	0.2	0
24	41	MentalRotMed	10	0	3	43	0	0	0	0.7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	1	0	0	1	0	0	0	1	0	2	0.5	0
24	42	MentalRotDiff	10	0	3	43	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	2	1	0
25	43	BodyMotionIntact	15	0	5	23	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	1	1	0	0	1	0	2	0	0
25	44	BodyMotionScram	15	0	5	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	1	0	0	0	1	0	2	0	0
26	45	RespAltEasy	10	1	1	23	0	0	0	0.2	0.2	0	0.2	0	0	0	0	0	0	1	0	0	0	0	0	0.3	0	0	0.5	0	0	0	0	0	1	0	0.3	1	0	0	0	0	0	1	0.2	0
26	46	RespAltMed	10	1	1	23	0	0	0	0.6	0.4	0	0.4	0	0	0	0	0	0	1	0	0	0	0	0	0.6	0	0	0.7	0	0	0	0	1	1	0	0.6	1	0	0	0	0	0	2	0.5	0
26	47	RespAltDiff	10	1	1	23	0	0	0	1	0.6	0	0.6	0	0	0	0	0	0	1	0	0	0	0	0	0.9	0	0	0.9	0	0	0	0	1	1	0	0.9	1	0	0	0	0	0	4	0.7	0
